last_name,first_name,birthday,gender,type,state,party
McCollum,Betty,7/12/1954,F,Rep,MN,D
Miller,Jeff,6/27/1959,M,Rep,FL,R
Marshall,James,3/31/1948,M,Rep,GA,D
McCotter,Thaddeus,8/22/1965,M,Rep,MI,R
Meek,Kendrick,9/6/1966,M,Rep,FL,D
Michaud,Michael,1/18/1955,M,Rep,ME,D
Miller,Candice,5/7/1954,F,Rep,MI,R
Murphy,Tim,9/11/1952,M,Rep,PA,R
Musgrave,Marilyn,1/27/1949,F,Rep,CO,R
Murkowski,Lisa,5/22/1957,F,Sen,AK,R
Miller,R.,5/19/1953,M,Rep,NC,D
Mack,Connie,8/12/1967,M,Rep,FL,R
McHenry,Patrick,10/22/1975,M,Rep,NC,R
McCaul,Michael,1/14/1962,M,Rep,TX,R
Marchant,Kenny,2/23/1951,M,Rep,TX,R
McMorris Rodgers,Cathy,5/22/1969,F,Rep,WA,R
Moore,Gwen,4/18/1951,F,Rep,WI,D
Melancon,Charles,10/3/1947,M,Rep,LA,D
Martinez,Mel,10/23/1946,M,Sen,FL,R
Matsui,Doris,9/25/1944,F,Rep,CA,D
Mahoney,Tim,8/15/1956,M,Rep,FL,D
McCarthy,Kevin,1/26/1965,M,Rep,CA,R
McNerney,Jerry,6/18/1951,M,Rep,CA,D
Mitchell,Harry,7/18/1940,M,Rep,AZ,D
Murphy,Patrick,10/19/1973,M,Rep,PA,D
Murphy,Christopher,8/3/1973,M,Sen,CT,D
McCaskill,Claire,7/24/1953,F,Sen,MO,D
Maffei,Daniel,7/4/1968,M,Rep,NY,D
Markey,Betsy,4/27/1956,F,Rep,CO,D
Massa,Eric,9/16/1959,M,Rep,NY,D
McMahon,Michael,9/12/1957,M,Rep,NY,D
Minnick,Walter,9/20/1942,M,Rep,ID,D
Merkley,Jeff,10/24/1956,M,Sen,OR,D
McClintock,Tom,7/10/1956,M,Rep,CA,R
Murphy,Scott,1/26/1970,M,Rep,NY,D
Marino,Tom,8/15/1952,M,Rep,PA,R
McKinley,David,3/28/1947,M,Rep,WV,R
Meehan,Patrick,10/20/1955,M,Rep,PA,R
Mulvaney,Mick,7/21/1967,M,Rep,SC,R
Manchin,Joe,8/24/1947,M,Sen,WV,D
Massie,Thomas,1/13/1971,M,Rep,KY,R
Maloney,Sean,7/30/1966,M,Rep,NY,D
Meadows,Mark,7/28/1959,M,Rep,NC,R
Meng,Grace,10/1/1975,F,Rep,NY,D
Messer,Luke,2/27/1969,M,Rep,IN,R
Mullin,Markwayne,7/26/1977,M,Rep,OK,R
Murphy,Patrick,3/30/1983,M,Rep,FL,D
Nadler,Jerrold,6/13/1947,M,Rep,NY,D
Neal,Richard,2/14/1949,M,Rep,MA,D
Nelson,Bill,9/29/1942,M,Sen,FL,D
Nolan,Richard,12/17/1943,M,Rep,MN,D
Norton,Eleanor,6/13/1937,F,Rep,DC,D
Norwood,Charles,7/27/1941,M,Rep,GA,R
Napolitano,Grace,12/4/1936,F,Rep,CA,D
Nelson,Ben,5/17/1941,M,Sen,NE,D
Nunes,Devin,10/1/1973,M,Rep,CA,R
Neugebauer,Randy,12/24/1949,M,Rep,TX,R
Nye,Glenn,9/9/1974,M,Rep,VA,D
Noem,Kristi,11/30/1971,F,Rep,SD,R
Nugent,Richard,5/26/1951,M,Rep,FL,R
Nunnelee,Alan,10/9/1958,M,Rep,MS,R
Negrete McLeod,Gloria,9/6/1941,F,Rep,CA,D
Oberstar,James,9/10/1934,M,Rep,MN,D
Obey,David,10/3/1938,M,Rep,WI,D
Olver,John,9/3/1936,M,Rep,MA,D
Ortiz,Solomon,6/3/1937,M,Rep,TX,D
Obama,Barack,8/4/1961,M,Sen,IL,D
Olson,Pete,12/9/1962,M,Rep,TX,R
Owens,William,1/20/1949,M,Rep,NY,D
O'Rourke,Beto,9/26/1972,M,Rep,TX,D
Pallone,Frank,10/30/1951,M,Rep,NJ,D
Pascrell,Bill,1/25/1937,M,Rep,NJ,D
Pastor,Ed,6/28/1943,M,Rep,AZ,D
Payne,Donald,7/16/1934,M,Rep,NJ,D
Pelosi,Nancy,3/26/1940,F,Rep,CA,D
Peterson,Collin,6/29/1944,M,Rep,MN,D
Peterson,John,12/25/1938,M,Rep,PA,R
Petri,Thomas,5/28/1940,M,Rep,WI,R
Pickering,Charles,8/10/1963,M,Rep,MS,R
Pitts,Joseph,10/10/1939,M,Rep,PA,R
Pomeroy,Earl,9/2/1952,M,Rep,ND,D
Portman,Robert,12/19/1955,M,Sen,OH,R
Price,David,8/17/1940,M,Rep,NC,D
Pryce,Deborah,7/29/1951,F,Rep,OH,R
Paul,Ronald,8/20/1935,M,Rep,TX,R
Platts,Todd,3/5/1962,M,Rep,PA,R
Putnam,Adam,7/31/1974,M,Rep,FL,R
Pence,Mike,6/7/1959,M,Rep,IN,R
Pearce,Stevan,8/24/1947,M,Rep,NM,R
Porter,Jon,5/16/1955,M,Rep,NV,R
Pryor,Mark,1/10/1963,M,Sen,AR,D
Price,Tom,10/8/1954,M,Rep,GA,R
Poe,Ted,9/10/1948,M,Rep,TX,R
Perlmutter,Ed,5/1/1953,M,Rep,CO,D
Paulsen,Erik,5/14/1965,M,Rep,MN,R
Peters,Gary,12/1/1958,M,Rep,MI,D
Pierluisi,Pedro,4/26/1959,M,Rep,PR,D
Pingree,Chellie,4/2/1955,F,Rep,ME,D
Polis,Jared,5/12/1975,M,Rep,CO,D
Posey,Bill,12/18/1947,M,Rep,FL,R
Perriello,Thomas,10/9/1974,M,Rep,VA,D
Palazzo,Steven,2/21/1970,M,Rep,MS,R
Pompeo,Mike,12/30/1963,M,Rep,KS,R
Paul,Rand,1/7/1963,M,Sen,KY,R
Payne,Donald,12/17/1958,M,Rep,NJ,D
Perry,Scott,5/27/1962,M,Rep,PA,R
Pittenger,Robert,8/15/1948,M,Rep,NC,R
Pocan,Mark,8/14/1964,M,Rep,WI,D
Peters,Scott,6/17/1958,M,Rep,CA,D
Quigley,Mike,10/17/1958,M,Rep,IL,D
Quayle,Ben,11/3/1976,M,Rep,AZ,R
Radanovich,George,6/20/1955,M,Rep,CA,R
Rahall,Nick,5/20/1949,M,Rep,WV,D
Ramstad,James,5/6/1946,M,Rep,MN,R
Rangel,Charles,6/11/1930,M,Rep,NY,D
Reed,John,11/12/1949,M,Sen,RI,D
Regula,Ralph,12/3/1924,M,Rep,OH,R
Reid,Harry,12/2/1939,M,Sen,NV,D
Reyes,Silvestre,11/10/1944,M,Rep,TX,D
Roberts,Pat,4/20/1936,M,Sen,KS,R
Rockefeller,John,6/18/1937,M,Sen,WV,D
Rogers,Harold,12/31/1937,M,Rep,KY,R
Rohrabacher,Dana,6/21/1947,M,Rep,CA,R
Ros-Lehtinen,Ileana,7/15/1952,F,Rep,FL,R
Rothman,Steven,10/14/1952,M,Rep,NJ,D
Roybal-Allard,Lucille,6/12/1941,F,Rep,CA,D
Royce,Edward,10/12/1951,M,Rep,CA,R
Rush,Bobby,11/23/1946,M,Rep,IL,D
Rodriguez,Ciro,12/9/1946,M,Rep,TX,D
Reynolds,Thomas,9/3/1950,M,Rep,NY,R
Ryan,Paul,1/29/1970,M,Rep,WI,R
Rehberg,Dennis,10/5/1955,M,Rep,MT,R
Rogers,Mike,6/2/1963,M,Rep,MI,R
Ross,Mike,8/2/1961,M,Rep,AR,D
Renzi,Rick,6/11/1958,M,Rep,AZ,R
Rogers,Mike,7/16/1958,M,Rep,AL,R
Ruppersberger,C.,1/31/1946,M,Rep,MD,D
Ryan,Tim,7/16/1973,M,Rep,OH,D
Reichert,David,8/29/1950,M,Rep,WA,R
Roskam,Peter,9/13/1961,M,Rep,IL,R
Richardson,Laura,4/14/1962,F,Rep,CA,D
Roe,David,7/21/1945,M,Rep,TN,R
Rooney,Thomas,11/21/1970,M,Rep,FL,R
Risch,James,5/3/1943,M,Sen,ID,R
Reed,Tom,11/18/1971,M,Rep,NY,R
Renacci,James,12/3/1958,M,Rep,OH,R
Ribble,Reid,4/5/1956,M,Rep,WI,R
Richmond,Cedric,9/13/1973,M,Rep,LA,D
Rigell,E.,5/28/1960,M,Rep,VA,R
Rivera,David,9/16/1965,M,Rep,FL,R
Roby,Martha,7/27/1976,F,Rep,AL,R
Rokita,Todd,2/9/1970,M,Rep,IN,R
Ross,Dennis,10/18/1959,M,Rep,FL,R
Runyan,Jon,11/27/1973,M,Rep,NJ,R
Rubio,Marco,5/28/1971,M,Sen,FL,R
Radel,Trey,4/20/1976,M,Rep,FL,R
Rice,Tom,8/4/1957,M,Rep,SC,R
Rothfus,Keith,4/25/1962,M,Rep,PA,R
Ruiz,Raul,8/25/1972,M,Rep,CA,D
Salmon,Matt,1/21/1958,M,Rep,AZ,R
Sanchez,Loretta,1/7/1960,F,Rep,CA,D
Sanders,Bernard,9/8/1941,M,Sen,VT,I
Saxton,H.,1/22/1943,M,Rep,NJ,R
Schumer,Charles,11/23/1950,M,Sen,NY,D
Scott,Robert,4/30/1947,M,Rep,VA,D
Sensenbrenner,F.,6/14/1943,M,Rep,WI,R
Serrano,José,10/24/1943,M,Rep,NY,D
Sessions,Pete,3/22/1955,M,Rep,TX,R
Shadegg,John,10/22/1949,M,Rep,AZ,R
Shelby,Richard,5/6/1934,M,Sen,AL,R
Sherman,Brad,10/24/1954,M,Rep,CA,D
Shimkus,John,2/21/1958,M,Rep,IL,R
Skelton,Ike,12/20/1931,M,Rep,MO,D
Slaughter,Louise,8/14/1929,F,Rep,NY,D
Smith,Adam,6/15/1965,M,Rep,WA,D
Smith,Christopher,3/4/1953,M,Rep,NJ,R
Smith,Lamar,11/19/1947,M,Rep,TX,R
Snowe,Olympia,2/21/1947,F,Sen,ME,R
Snyder,Victor,9/27/1947,M,Rep,AR,D
Specter,Arlen,2/12/1930,M,Sen,PA,D
Spratt,John,11/1/1942,M,Rep,SC,D
Stabenow,Debbie,4/29/1950,F,Sen,MI,D
Stark,Fortney,11/11/1931,M,Rep,CA,D
Stearns,Clifford,4/16/1941,M,Rep,FL,R
Stevens,Ted,11/18/1923,M,Sen,AK,R
Stockman,Steve,11/14/1956,M,Rep,TX,R
Stupak,Bart,2/29/1952,M,Rep,MI,D
Sununu,John,9/10/1964,M,Sen,NH,R
Sessions,Jefferson,12/24/1946,M,Sen,AL,R
Smith,Gordon,5/25/1952,M,Sen,OR,R
Souder,Mark,7/18/1950,M,Rep,IN,R
Shays,Christopher,10/18/1945,M,Rep,CT,R
Schakowsky,Janice,5/26/1944,F,Rep,IL,D
Simpson,Michael,9/8/1950,M,Rep,ID,R
Schiff,Adam,6/22/1960,M,Rep,CA,D
Solis,Hilda,10/20/1957,F,Rep,CA,D
Shuster,Bill,1/10/1961,M,Rep,PA,R
Sullivan,John,1/1/1965,M,Rep,OK,R
Sánchez,Linda,1/28/1969,F,Rep,CA,D
Scott,David,6/27/1946,M,Rep,GA,D
Salazar,John,7/21/1953,M,Rep,CO,D
Schwartz,Allyson,10/3/1948,F,Rep,PA,D
Salazar,Ken,3/2/1955,M,Sen,CO,D
Schmidt,Jean,11/29/1951,F,Rep,OH,R
Sires,Albio,1/26/1951,M,Rep,NJ,D
Sali,Bill,2/17/1954,M,Rep,ID,R
Sarbanes,John,5/22/1962,M,Rep,MD,D
Sestak,Joe,12/12/1951,M,Rep,PA,D
Shea-Porter,Carol,12/2/1952,F,Rep,NH,D
Shuler,Heath,12/31/1971,M,Rep,NC,D
Smith,Adrian,12/19/1970,M,Rep,NE,R
Space,Zachary,1/27/1961,M,Rep,OH,D
Sutton,Betty,7/31/1963,F,Rep,OH,D
Speier,Jackie,5/14/1950,F,Rep,CA,D
Scalise,Steve,10/6/1965,M,Rep,LA,R
Sablan,Gregorio,1/19/1955,M,Rep,MP,D
Schauer,Mark,10/2/1961,M,Rep,MI,D
Schock,Aaron,5/28/1981,M,Rep,IL,R
Schrader,Kurt,10/19/1951,M,Rep,OR,D
Shaheen,Jeanne,1/28/1947,F,Sen,NH,D
Schilling,Robert,1/23/1964,M,Rep,IL,R
Schweikert,David,3/3/1962,M,Rep,AZ,R
Scott,Tim,9/19/1965,M,Sen,SC,R
Sewell,Terri,1/1/1965,F,Rep,AL,D
Southerland,Steve,10/10/1965,M,Rep,FL,R
Stivers,Steve,3/24/1965,M,Rep,OH,R
Stutzman,Marlin,8/31/1976,M,Rep,IN,R
Scott,Austin,12/10/1969,M,Rep,GA,R
Schneider,Bradley,8/20/1961,M,Rep,IL,D
Sinema,Kyrsten,7/12/1976,F,Rep,AZ,D
Stewart,Chris,7/15/1960,M,Rep,UT,R
Swalwell,Eric,11/16/1980,M,Rep,CA,D
Schatz,Brian,10/20/1972,M,Sen,HI,D
Tanner,John,9/22/1944,M,Rep,TN,D
Tauscher,Ellen,11/15/1951,F,Rep,CA,D
Taylor,Gene,9/17/1953,M,Rep,MS,D
Thompson,Bennie,1/28/1948,M,Rep,MS,D
Thornberry,Mac,7/15/1958,M,Rep,TX,R
Thune,John,1/7/1961,M,Sen,SD,R
Tiahrt,Todd,6/15/1951,M,Rep,KS,R
Tierney,John,9/18/1951,M,Rep,MA,D
Towns,Edolphus,7/21/1934,M,Rep,NY,D
Tancredo,Thomas,12/20/1945,M,Rep,CO,R
Terry,Lee,1/29/1962,M,Rep,NE,R
Thompson,Mike,1/24/1951,M,Rep,CA,D
Toomey,Patrick,11/17/1961,M,Sen,PA,R
Tiberi,Patrick,10/21/1962,M,Rep,OH,R
Turner,Michael,1/11/1960,M,Rep,OH,R
Tester,Jon,8/21/1956,M,Sen,MT,D
Tsongas,Niki,4/26/1946,F,Rep,MA,D
Teague,Harry,6/29/1949,M,Rep,NM,D
Thompson,Glenn,7/27/1959,M,Rep,PA,R
Titus,Dina,5/23/1950,F,Rep,NV,D
Tonko,Paul,6/18/1949,M,Rep,NY,D
Tipton,Scott,11/9/1956,M,Rep,CO,R
Turner,Robert,5/2/1941,M,Rep,NY,R
Takano,Mark,12/10/1960,M,Rep,CA,D
Upton,Fred,4/23/1953,M,Rep,MI,R
Udall,Mark,7/18/1950,M,Sen,CO,D
Udall,Tom,5/18/1948,M,Sen,NM,D
Velázquez,Nydia,3/28/1953,F,Rep,NY,D
Visclosky,Peter,8/13/1949,M,Rep,IN,D
Voinovich,George,7/15/1936,M,Sen,OH,R
Vitter,David,5/3/1961,M,Sen,LA,R
Van Hollen,Chris,1/10/1959,M,Rep,MD,D
Valadao,David,4/14/1977,M,Rep,CA,R
Vargas,Juan,3/7/1961,M,Rep,CA,D
Veasey,Marc,1/3/1971,M,Rep,TX,D
Vela,Filemon,2/13/1963,M,Rep,TX,D
Walsh,James,6/19/1947,M,Rep,NY,R
Wamp,Zach,10/28/1957,M,Rep,TN,R
Warner,John,2/18/1927,M,Sen,VA,R
Waters,Maxine,8/15/1938,F,Rep,CA,D
Watt,Melvin,8/26/1945,M,Rep,NC,D
Waxman,Henry,9/12/1939,M,Rep,CA,D
Weldon,David,8/31/1953,M,Rep,FL,R
Weller,Gerald,7/7/1957,M,Rep,IL,R
Wexler,Robert,1/2/1961,M,Rep,FL,D
Whitfield,Ed,5/25/1943,M,Rep,KY,R
Wicker,Roger,7/5/1951,M,Sen,MS,R
Wolf,Frank,1/30/1939,M,Rep,VA,R
Woolsey,Lynn,11/3/1937,F,Rep,CA,D
Wyden,Ron,5/3/1949,M,Sen,OR,D
Wynn,Albert,9/10/1951,M,Rep,MD,D
Wilson,Heather,12/30/1960,F,Rep,NM,R
Walden,Greg,1/10/1957,M,Rep,OR,R
Weiner,Anthony,9/4/1964,M,Rep,NY,D
Wu,David,4/8/1955,M,Rep,OR,D
Watson,Diane,11/12/1933,F,Rep,CA,D
Wilson,Joe,7/31/1947,M,Rep,SC,R
Westmoreland,Lynn,4/2/1950,M,Rep,GA,R
Wasserman Schultz,Debbie,9/27/1966,F,Rep,FL,D
Walberg,Tim,4/12/1951,M,Rep,MI,R
Walz,Timothy,4/6/1964,M,Rep,MN,D
Welch,Peter,5/2/1947,M,Rep,VT,D
Wilson,Charles,1/18/1943,M,Rep,OH,D
Whitehouse,Sheldon,10/20/1955,M,Sen,RI,D
Webb,Jim,2/9/1946,M,Sen,VA,D
Wittman,Robert,2/3/1959,M,Rep,VA,R
Warner,Mark,12/15/1954,M,Sen,VA,D
Webster,Daniel,4/27/1949,M,Rep,FL,R
West,Allen,2/7/1961,M,Rep,FL,R
Wilson,Frederica,11/5/1942,F,Rep,FL,D
Womack,Steve,2/18/1957,M,Rep,AR,R
Woodall,Rob,2/11/1970,M,Rep,GA,R
Walsh,Joe,12/27/1961,M,Rep,IL,R
Wagner,Ann,9/13/1962,F,Rep,MO,R
Walorski,Jackie,8/17/1963,F,Rep,IN,R
Weber,Randy,7/2/1953,M,Rep,TX,R
Wenstrup,Brad,6/17/1958,M,Rep,OH,R
Williams,Roger,9/13/1949,M,Rep,TX,R
Warren,Elizabeth,6/22/1949,F,Sen,MA,D
Young,C.,12/16/1930,M,Rep,FL,R
Young,Don,6/9/1933,M,Rep,AK,R
Yarmuth,John,11/4/1947,M,Rep,KY,D
Yoder,Kevin,1/8/1976,M,Rep,KS,R
Young,Todd,8/24/1972,M,Rep,IN,R
Yoho,Ted,4/13/1955,M,Rep,FL,R
