"Age","AttendedBootcamp","BootcampFinish","BootcampLoanYesNo","BootcampName","BootcampRecommend","ChildrenNumber","CityPopulation","CodeEventConferences","CodeEventDjangoGirls","CodeEventFCC","CodeEventGameJam","CodeEventGirlDev","CodeEventHackathons","CodeEventMeetup","CodeEventNodeSchool","CodeEventNone","CodeEventOther","CodeEventRailsBridge","CodeEventRailsGirls","CodeEventStartUpWknd","CodeEventWkdBootcamps","CodeEventWomenCode","CodeEventWorkshops","CommuteTime","CountryCitizen","CountryLive","EmploymentField","EmploymentFieldOther","EmploymentStatus","EmploymentStatusOther","ExpectedEarning","FinanciallySupporting","FirstDevJob","Gender","GenderOther","HasChildren","HasDebt","HasFinancialDependents","HasHighSpdInternet","HasHomeMortgage","HasServedInMilitary","HasStudentDebt","HomeMortgageOwe","HoursLearning","ID.x","ID.y","Income","IsEthnicMinority","IsReceiveDisabilitiesBenefits","IsSoftwareDev","IsUnderEmployed","JobApplyWhen","JobInterestBackEnd","JobInterestDataEngr","JobInterestDataSci","JobInterestDevOps","JobInterestFrontEnd","JobInterestFullStack","JobInterestGameDev","JobInterestInfoSec","JobInterestMobile","JobInterestOther","JobInterestProjMngr","JobInterestQAEngr","JobInterestUX","JobPref","JobRelocateYesNo","JobRoleInterest","JobWherePref","LanguageAtHome","MaritalStatus","MoneyForLearning","MonthsProgramming","NetworkID","Part1EndTime","Part1StartTime","Part2EndTime","Part2StartTime","PodcastChangeLog","PodcastCodeNewbie","PodcastCodePen","PodcastDevTea","PodcastDotNET","PodcastGiantRobots","PodcastJSAir","PodcastJSJabber","PodcastNone","PodcastOther","PodcastProgThrowdown","PodcastRubyRogues","PodcastSEDaily","PodcastSERadio","PodcastShopTalk","PodcastTalkPython","PodcastTheWebAhead","ResourceCodecademy","ResourceCodeWars","ResourceCoursera","ResourceCSS","ResourceEdX","ResourceEgghead","ResourceFCC","ResourceHackerRank","ResourceKA","ResourceLynda","ResourceMDN","ResourceOdinProj","ResourceOther","ResourcePluralSight","ResourceSkillcrush","ResourceSO","ResourceTreehouse","ResourceUdacity","ResourceUdemy","ResourceW3S","SchoolDegree","SchoolMajor","StudentDebtOwe","YouTubeCodeCourse","YouTubeCodingTrain","YouTubeCodingTut360","YouTubeComputerphile","YouTubeDerekBanas","YouTubeDevTips","YouTubeEngineeredTruth","YouTubeFCC","YouTubeFunFunFunction","YouTubeGoogleDev","YouTubeLearnCode","YouTubeLevelUpTuts","YouTubeMIT","YouTubeMozillaHacks","YouTubeOther","YouTubeSimplilearn","YouTubeTheNewBoston"
39,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America","United States of America",NA,NA,NA,NA,70000,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,45,"801d76175b81baa7fdd125d28c529ef1","ddd36a6c763a2664988aef652433cc9c",NA,0,0,0,NA,"I'm already applying",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,"work for a medium-sized company",1,"  Front-End Web Developer, Data Engineer,   DevOps / SysAdmin,   Data Scientist,   User Experience Designer, Full-Stack Web Developer","in an office with other developers","English","divorced",375,24,"6a0eceb30c",2017-03-09 21:04:06,"2017-03-09 21:01:00","2017-03-09 21:05:45",2017-03-09 21:04:10,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,NA,1,NA,1,"bachelor's degree","Risk Management and Insurance",NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,"Chris Hawkes",NA,1
28,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Colombia","Colombia",NA,NA,NA,NA,NA,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,4,"a8d3245e6198f0d99774128025e0fcd8","2fe10985d44c461e9e846a06855791e5",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"Spanish","married or domestic partnership",100,48,"c574673931",2017-03-09 21:05:16,"2017-03-09 20:41:59","2017-03-09 21:08:08",2017-03-09 21:05:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platzi",NA,NA,1,NA,NA,NA,NA,"master's degree (non-professional)","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platzi",NA,NA
25,1,1,0,NA,0,NA,"more than 1 million",NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Singapore","United States of America",NA,NA,NA,"student",100000,NA,NA,"female",NA,NA,1,0,1,0,0,1,NA,60,"e6618f56f53dc477fedfbba15aca098e","e89c5a262bea168719ce32b71cfde7a7",NA,0,0,0,NA,"Within the next 6 months",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"work for a medium-sized company",1,"Full-Stack Web Developer, Back-End Web Developer","in an office with other developers","English","single, never married",600,12,"b81534a0b9",2017-03-09 21:05:18,"2017-03-09 21:02:37","2017-03-09 21:06:45",2017-03-09 21:05:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"Launch School",NA,NA,NA,NA,NA,NA,NA,"master's degree (non-professional)","English",35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More than 60 minutes","United States of America","United States of America","architecture or physical engineering",NA,"Employed for wages",NA,NA,NA,NA,"male",NA,NA,1,0,1,0,0,1,NA,22,"18375ed62bc4cbb1ba5075cf69bd7a66","942402f5590cc462d437ba82b6424b5c",43000,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"English","single, never married",200,11,"0eba8c28e6",2017-03-09 21:06:04,"2017-03-09 21:02:14","2017-03-09 21:08:13",2017-03-09 21:06:06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,1,1,1,"some college credit, no degree",NA,11000,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
38,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I work from home","United Kingdom","Argentina",NA,"non-profit","Self-employed freelancer",NA,NA,NA,NA,"female",NA,NA,0,0,1,NA,0,NA,NA,15,"291a7d3c3b6ae90fb315751f63ad5f8c","95b43d0c59666bb0ee6d4dbe35eba362",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"freelance ",NA,NA,NA,"English","married or domestic partnership",0,7,"73a159f7e8",2017-03-09 21:06:32,"2017-03-09 21:05:01","2017-03-09 21:08:21",2017-03-09 21:06:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"Ph.D.","Philosophy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
26,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America","United States of America",NA,NA,"Not working but looking for work",NA,65000,NA,NA,"male",NA,NA,1,0,1,0,0,1,NA,15,"fc3aa724a4ad9e67d38b8fc5b60119bf","8f652b18c03a1263be66702854987da9",NA,0,0,0,NA,"Within 7 to 12 months",NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"work for a startup",1,"Full-Stack Web Developer,   Data Scientist, Information Security","in an office with other developers","English","single, never married",0,2,"c9c2203139",2017-03-09 21:06:38,"2017-03-09 21:02:30","2017-03-09 21:08:45",2017-03-09 21:06:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"some college credit, no degree",NA,3000,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
24,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than 15 minutes","Poland","Poland","software development and IT",NA,"Employed for wages",NA,NA,1,1,"male",NA,0,0,1,1,NA,0,NA,NA,15,"93c98ea87fa92892d28d26df25ae867c","12851e9967fa7e5375a60935d1a7ea67",10000,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polish","single, never married",1000,40,"cf358e95ed",2017-03-09 21:07:18,"2017-03-09 19:15:51","2017-03-09 21:09:40",2017-03-09 21:07:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,1,NA,NA,NA,NA,"bachelor's degree","Computer Science",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
22,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America","United States of America",NA,NA,"Not working and not looking for work",NA,NA,NA,NA,"female",NA,NA,0,0,1,NA,0,NA,NA,5,"e252a463cea962196557e10990bf2690","97870e920ecc7fc6989848f837c76653",NA,1,0,0,NA,"I haven't decided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"work for a medium-sized company",1,"  User Experience Designer","no preference","English","single, never married",0,3,"447e317aab",2017-03-09 21:07:22,"2017-03-09 21:04:46","2017-03-09 21:08:24",2017-03-09 21:07:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"some college credit, no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA
30,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,"Less than 15 minutes","United States of America","United States of America","arts, entertainment, sports, or media",NA,"Employed for wages",NA,NA,NA,0,"male",NA,NA,0,0,1,NA,0,NA,NA,10,"0874fec8ac60e66688e2149c437d601a","55b14a60300664284f6970e36ee09d92",72000,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English","married or domestic partnership",2000,48,"7a86e86260",2017-03-09 21:07:28,"2017-03-09 21:04:45","2017-03-09 21:09:22",2017-03-09 21:07:32,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,"Frontend Masters",1,NA,1,NA,NA,NA,1,"bachelor's degree","Aerospace and Aeronautical Engineering",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
25,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America","United States of America",NA,NA,"Doing an unpaid internship",NA,NA,NA,1,"male",NA,NA,0,0,1,NA,0,NA,NA,15,"256ff61fd7359d666b55cc86dd0bea76","3380d82a491bf4e561269daafbf47524",NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English","single, never married",0,12,"33f3d42927",2017-03-09 21:07:51,"2017-03-09 20:49:41","2017-03-09 21:13:12",2017-03-09 21:07:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"bachelor's degree","Civil Engineering",NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
29,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 to 29 minutes","Serbia","Serbia",NA,NA,"Employed for wages",NA,12000,NA,NA,"male",NA,NA,0,NA,1,NA,0,NA,NA,12,"18746dafd8c25ab6048a3ad40ffc83ae","95c4dd4085687abffc264cd21adb5876",NA,0,0,0,1,"Within 7 to 12 months",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"work for a startup",1,"  Front-End Web Developer","in an office with other developers","Serbian",NA,100,3,"8cfdfc286d",2017-03-09 21:08:33,"2017-03-09 21:01:12","2017-03-09 21:11:16",2017-03-09 21:08:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,"master's degree (non-professional)","Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America","United States of America",NA,NA,"Not working and not looking for work",NA,NA,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,3,"6ada636f163824bbdeeb1f4b1cd3920e","62cacffe34573d7ec84b7c699508debb",NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"freelance ",NA,NA,NA,"English","single, never married",0,0,"5c0314250b",2017-03-09 21:08:55,"2017-03-09 21:05:49","2017-03-09 21:10:49",2017-03-09 21:08:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"some high school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","Portugal",NA,NA,"Not working but looking for work",NA,NA,NA,1,"male",NA,NA,0,0,1,NA,0,NA,NA,3,"2bc0f5d961dc3d71955c95350d20b502","54c83c3a1c79944b54ab2857b31832e6",NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portuguese","single, never married",0,2,"d6d8ff02f5",2017-03-09 21:11:02,"2017-03-09 21:09:34","2017-03-09 21:13:36",2017-03-09 21:11:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"master's degree (non-professional)","Biomedical Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 to 44 minutes","Turkey","Turkey",NA,"Telecommunication","Employed for wages",NA,NA,1,NA,"male",NA,0,0,1,1,NA,0,NA,NA,5,"16bf5c86e175272a6e17ddea4f265b5b","4d658ba4c8a2f225796dd7917aa93566",35000,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"Turkish","married or domestic partnership",0,2,"d7d43e13b3",2017-03-09 21:12:28,"2017-03-09 21:08:50","2017-03-09 21:15:40",2017-03-09 21:12:33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"professional degree (MBA, MD, JD, etc.)","Electrical and Electronics Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
19,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 to 29 minutes","United Kingdom","United Kingdom","software development and IT",NA,"Employed for wages",NA,NA,NA,1,"male",NA,NA,0,0,1,NA,0,NA,NA,NA,"61d9f7083593339fc4172e470cc012bd","a7cf354385012c00f414d4faaf89119a",35000,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English","single, never married",60,18,"13d067b938",2017-03-09 21:12:37,"2017-03-09 21:10:32","2017-03-09 21:15:23",2017-03-09 21:12:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Documentation",NA,NA,NA,NA,NA,NA,NA,"bachelor's degree","Business Administration and Management",NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
21,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poland","Poland",NA,NA,"Not working but looking for work",NA,NA,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,30,"464e6b849e69bccfccc21337ea6fb558","41b0120a1bb50760a5cc619a08394955",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"freelance ",NA,NA,NA,"Polish","single, never married",300,5,"be975ba8b2",2017-03-09 21:13:01,"2017-03-09 21:10:59","2017-03-09 21:14:43",2017-03-09 21:13:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"bachelor's degree","Electrical Engineering",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 to 29 minutes","Serbia","Serbia","software development and IT",NA,"Employed for wages",NA,NA,NA,1,"male",NA,NA,0,0,1,NA,0,NA,NA,2,"7839b6ccf76a4952137329246c1b9eff","70ee6e80bceb0c48a5df491225adae4e",NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serbian","single, never married",50,48,"610355d423",2017-03-09 21:13:35,"2017-03-09 21:08:29","2017-03-09 21:15:17",2017-03-09 21:13:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,"bachelor's degree","Computer Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"India","United States of America",NA,NA,"Not working but looking for work",NA,NA,NA,NA,"female",NA,NA,0,0,1,NA,0,NA,NA,25,"e2941a69df2f9fb2b8b9f0971cd792d3","e8c0a9b9fbbee9d33462c6eb2ddd7ad5",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"Gujarati","married or domestic partnership",300,18,"bd3004429d",2017-03-09 21:14:03,"2017-03-09 21:08:41","2017-03-09 21:17:49",2017-03-09 21:14:08,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,"professional degree (MBA, MD, JD, etc.)","Finance",NA,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1
18,0,NA,NA,NA,NA,NA,"more than 1 million",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina","Argentina",NA,NA,"Not working but looking for work",NA,NA,NA,NA,"female",NA,NA,0,0,0,NA,0,NA,NA,10,"22eb7607dcc1cf99b7e6a753d9cc5d5b","a0bad6b5a53501b74125d6d0a88d0558",NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"Spanish","single, never married",0,12,"8fe0fc95ee",2017-03-09 21:14:46,"2017-03-09 21:11:51","2017-03-09 21:17:09",2017-03-09 21:14:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"some high school",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
18,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America","United States of America",NA,NA,"Not working and not looking for work",NA,NA,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,30,"795c4b106ad684fc0ab3be8405a50413","0f65b38123339b86cfbfc717c965e4af",NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"English","single, never married",0,14,"ed4d47a752",2017-03-09 21:15:36,"2017-03-09 21:14:19","2017-03-09 21:16:44",2017-03-09 21:15:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"some college credit, no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1
26,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than 15 minutes","United States of America","United States of America","education",NA,"Employed for wages",NA,NA,NA,NA,"male",NA,NA,1,0,1,0,0,1,NA,5,"ca8f80bff0ff29732f17dfc092faf2c1","94ff532928559d2ff181f35906203ceb",30000,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"Hindi","single, never married",500,6,"a07923db97",2017-03-09 21:16:42,"2017-03-09 21:12:56","2017-03-09 21:18:26",2017-03-09 21:16:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"bachelor's degree","Philosophy",30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kosovo","Albania",NA,NA,"Not working but looking for work",NA,NA,NA,1,"male",NA,NA,0,0,1,NA,0,NA,NA,30,"b6a308a0e9fc5266aa8a38d039f6a1ab","6121e39a1347c35f3b16062ea88d916c",NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albanian","single, never married",0,24,"a7f7c9fbf0",2017-03-09 21:17:13,"2017-03-09 21:14:41","2017-03-09 21:19:02",2017-03-09 21:17:19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,"bachelor's degree","Police and Criminal Science",NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA,1
21,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bangladesh","Bangladesh",NA,NA,"Not working and not looking for work",NA,NA,NA,NA,"male",NA,NA,0,0,0,NA,0,NA,NA,20,"7c608d1e7e0d033eb4247ac264aa24bf","b2a9234642a851d03892c8d226ebca8f",NA,0,0,0,NA,"more than 12 months from now",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"work for a multinational corporation",1,"Full-Stack Web Developer, Information Security","no preference","Bengali","single, never married",0,36,"e1c6042b73",2017-03-09 21:17:15,"2017-03-09 21:12:33","2017-03-09 21:19:43",2017-03-09 21:17:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,"some high school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
25,1,1,0,"Coding Dojo",1,NA,"more than 1 million",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 to 44 minutes","United States of America","United States of America","software development and IT",NA,"Employed for wages",NA,NA,NA,1,"male",NA,NA,1,0,1,1,0,0,361800,40,"e3f8d203dd5c052408011b5efbbe43f9","50a73a606b9bac699a72cef62d064438",105000,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English","single, never married",8000,13,"188031fd84",2017-03-09 21:17:17,"2017-03-09 21:13:37","2017-03-09 21:34:52",2017-03-09 21:17:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"master's degree (non-professional)","Physics",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
